"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2011","0.0",""
"Afghanistan","2010","0.0",""
"Afghanistan","2009","0.0",""
"Afghanistan","2008","0.0",""
"Afghanistan","2007","0.0",""
"Afghanistan","2006","0.0",""
"Afghanistan","2005","0.0",""
"Afghanistan","2004","0.0",""
"Afghanistan","2003","0.0",""
"Afghanistan","2002","0.0",""
"Albania","2012","74.1",""
"Albania","2011","74.1",""
"Albania","2010","70.9",""
"Albania","2009","70.9",""
"Albania","2008","38.3",""
"Albania","2007","39.8",""
"Albania","2006","27.1",""
"Albania","2005","31.8",""
"Albania","2004","28.1",""
"Albania","2003","23.7",""
"Albania","2002","25.6",""
"Albania","2001","22.2",""
"Albania","2000","20.4",""
"Algeria","2012","29.1",""
"Algeria","2011","31.6",""
"Algeria","2010","32.1",""
"Algeria","2009","33.1",""
"Algeria","2008","35.2",""
"Algeria","2007","34.9",""
"Algeria","2006","36.4",""
"Algeria","2005","34.7",""
"Algeria","2004","33.5",""
"Algeria","2003","33.4",""
"Algeria","2002","33.9",""
"Algeria","2001","33.3",""
"Algeria","2000","35.5",""
"Andorra","2012","24.2",""
"Andorra","2011","57.4",""
"Andorra","2010","56.4",""
"Andorra","2009","67.5",""
"Andorra","2008","88.0",""
"Andorra","2007","88.0",""
"Andorra","2006","87.7",""
"Andorra","2005","86.8",""
"Andorra","2004","84.1",""
"Andorra","2003","83.9",""
"Andorra","2002","82.3",""
"Andorra","2001","86.2",""
"Andorra","2000","88.1",""
"Angola","2012","0.0",""
"Angola","2011","0.0",""
"Angola","2010","0.0",""
"Angola","2009","0.0",""
"Angola","2008","0.0",""
"Angola","2007","0.0",""
"Angola","2006","0.0",""
"Angola","2005","0.0",""
"Angola","2004","0.0",""
"Angola","2003","0.0",""
"Angola","2002","0.0",""
"Angola","2001","0.0",""
"Angola","2000","0.0",""
"Antigua and Barbuda","2012","11.2",""
"Antigua and Barbuda","2011","11.1",""
"Antigua and Barbuda","2010","10.3",""
"Antigua and Barbuda","2009","12.3",""
"Antigua and Barbuda","2008","13.3",""
"Antigua and Barbuda","2007","0.0",""
"Antigua and Barbuda","2006","0.0",""
"Antigua and Barbuda","2005","0.0",""
"Antigua and Barbuda","2004","0.0",""
"Antigua and Barbuda","2003","0.0",""
"Antigua and Barbuda","2002","0.0",""
"Antigua and Barbuda","2001","0.0",""
"Antigua and Barbuda","2000","0.0",""
"Argentina","2012","52.8",""
"Argentina","2011","64.1",""
"Argentina","2010","67.1",""
"Argentina","2009","58.7",""
"Argentina","2008","57.3",""
"Argentina","2007","56.6",""
"Argentina","2006","56.5",""
"Argentina","2005","56.4",""
"Argentina","2004","56.4",""
"Argentina","2003","56.4",""
"Argentina","2002","58.3",""
"Argentina","2001","58.6",""
"Argentina","2000","59.6",""
"Armenia","2012","0.0",""
"Armenia","2011","0.0",""
"Armenia","2010","0.0",""
"Armenia","2009","0.0",""
"Armenia","2008","0.0",""
"Armenia","2007","0.0",""
"Armenia","2006","0.0",""
"Armenia","2005","0.0",""
"Armenia","2004","0.0",""
"Armenia","2003","0.0",""
"Armenia","2002","0.0",""
"Armenia","2001","0.0",""
"Armenia","2000","0.0",""
"Australia","2012","0",""
"Australia","2011","0",""
"Australia","2010","0",""
"Australia","2009","0",""
"Australia","2008","0",""
"Australia","2007","0",""
"Australia","2006","0",""
"Australia","2005","0",""
"Australia","2004","0",""
"Australia","2003","0",""
"Australia","2002","0",""
"Australia","2001","0",""
"Australia","2000","0",""
"Austria","2012","53.6",""
"Austria","2011","53.6",""
"Austria","2010","53.6",""
"Austria","2009","57.5",""
"Austria","2008","57.9",""
"Austria","2007","59.0",""
"Austria","2006","58.9",""
"Austria","2005","59.4",""
"Austria","2004","59.7",""
"Austria","2003","59.0",""
"Austria","2002","59.4",""
"Austria","2001","58.4",""
"Austria","2000","59.0",""
"Azerbaijan","2012","0.0",""
"Azerbaijan","2011","0.0",""
"Azerbaijan","2010","0.0",""
"Azerbaijan","2009","0.0",""
"Azerbaijan","2008","0.0",""
"Azerbaijan","2007","0.0",""
"Azerbaijan","2006","0.0",""
"Azerbaijan","2005","0.0",""
"Azerbaijan","2004","0.0",""
"Azerbaijan","2003","0.0",""
"Azerbaijan","2002","0.0",""
"Azerbaijan","2001","0.0",""
"Azerbaijan","2000","0.0",""
"Bahamas","2012","2.1",""
"Bahamas","2011","2.2",""
"Bahamas","2010","3.2",""
"Bahamas","2009","3.1",""
"Bahamas","2008","3.4",""
"Bahamas","2007","2.6",""
"Bahamas","2006","2.6",""
"Bahamas","2005","2.7",""
"Bahamas","2004","2.5",""
"Bahamas","2003","1.9",""
"Bahamas","2002","2.7",""
"Bahamas","2001","1.7",""
"Bahamas","2000","1.8",""
"Bahrain","2012","1.4",""
"Bahrain","2011","1.6",""
"Bahrain","2010","1.5",""
"Bahrain","2009","1.3",""
"Bahrain","2008","1.3",""
"Bahrain","2007","1.0",""
"Bahrain","2006","0.7",""
"Bahrain","2005","0.5",""
"Bahrain","2004","0.5",""
"Bahrain","2003","0.5",""
"Bahrain","2002","0.5",""
"Bahrain","2001","0.5",""
"Bahrain","2000","0.5",""
"Bangladesh","2012","0.0",""
"Bangladesh","2011","0.0",""
"Bangladesh","2010","0.0",""
"Bangladesh","2009","0.0",""
"Bangladesh","2008","0.0",""
"Bangladesh","2007","0.0",""
"Bangladesh","2006","0.0",""
"Bangladesh","2005","0.0",""
"Bangladesh","2004","0.0",""
"Bangladesh","2003","0.0",""
"Bangladesh","2002","0.0",""
"Bangladesh","2001","0.0",""
"Bangladesh","2000","0.0",""
"Barbados","2012","0.2",""
"Barbados","2011","0.2",""
"Barbados","2010","0.2",""
"Barbados","2009","0.2",""
"Barbados","2008","0.2",""
"Barbados","2007","0.2",""
"Barbados","2006","0.2",""
"Barbados","2005","0.2",""
"Barbados","2004","0.2",""
"Barbados","2003","0.1",""
"Barbados","2002","0.0",""
"Barbados","2001","0.0",""
"Barbados","2000","0.0",""
"Belarus","2012","0.0",""
"Belarus","2011","0.0",""
"Belarus","2010","0.0",""
"Belarus","2009","0.0",""
"Belarus","2008","0.0",""
"Belarus","2007","0.0",""
"Belarus","2006","0.0",""
"Belarus","2005","0.0",""
"Belarus","2004","0.0",""
"Belarus","2003","0.0",""
"Belarus","2002","0.0",""
"Belarus","2001","0.0",""
"Belarus","2000","0.0",""
"Belgium","2012","86.2",""
"Belgium","2011","86.2",""
"Belgium","2010","86.0",""
"Belgium","2009","85.3",""
"Belgium","2008","85.3",""
"Belgium","2007","85.4",""
"Belgium","2006","84.5",""
"Belgium","2005","85.3",""
"Belgium","2004","86.3",""
"Belgium","2003","79.1",""
"Belgium","2002","88.6",""
"Belgium","2001","85.3",""
"Belgium","2000","85.4",""
"Belize","2012","13.9",""
"Belize","2011","13.5",""
