"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2011","91",""
"Afghanistan","2010","90",""
"Afghanistan","2009","86",""
"Afghanistan","2008","88",""
"Afghanistan","2007","87",""
"Afghanistan","2006","84",""
"Afghanistan","2005","90",""
"Afghanistan","2004","89",""
"Afghanistan","2003","86",""
"Afghanistan","2002","87",""
"Afghanistan","2001","84",""
"Afghanistan","2000","85",""
"Albania","2011","93",""
"Albania","2010","91",""
"Albania","2009","89",""
"Albania","2008","91",""
"Albania","2007","85",""
"Albania","2006","90",""
"Albania","2005","79",""
"Albania","2004","75",""
"Albania","2003","88",""
"Albania","2002","84",""
"Albania","2001","91",""
"Algeria","2011","92",""
"Algeria","2010","89",""
"Algeria","2009","91",""
"Algeria","2008","90",""
"Algeria","2007","90",""
"Algeria","2006","91",""
"Algeria","2005","87",""
"Algeria","2004","91",""
"Algeria","2003","90",""
"Algeria","2002","89",""
"Algeria","2001","84",""
"Algeria","2000","87",""
"Andorra","2011","100",""
"Andorra","2009","100",""
"Andorra","2008","100",""
"Andorra","2007","100",""
"Andorra","2006","75",""
"Andorra","2005","80",""
"Andorra","2004","100",""
"Andorra","2003","100",""
"Andorra","2002","100",""
"Andorra","2001","100",""
"Andorra","2000","50",""
"Angola","2011","55",""
"Angola","2010","48",""
"Angola","2009","72",""
"Angola","2008","70",""
"Angola","2007","74",""
"Angola","2006","18",""
"Angola","2005","72",""
"Angola","2004","69",""
"Angola","2003","71",""
"Angola","2002","74",""
"Angola","2001","68",""
"Angola","2000","68",""
"Antigua and Barbuda","2011","17",""
"Antigua and Barbuda","2010","33",""
"Antigua and Barbuda","2009","67",""
"Antigua and Barbuda","2008","100",""
"Antigua and Barbuda","2007","50",""
"Antigua and Barbuda","2005","50",""
"Antigua and Barbuda","2004","100",""
"Antigua and Barbuda","2002","100",""
"Antigua and Barbuda","2001","100",""
"Antigua and Barbuda","2000","100",""
"Argentina","2011","52",""
"Argentina","2010","48",""
"Argentina","2009","46",""
"Argentina","2008","44",""
"Argentina","2007","62",""
"Argentina","2006","63",""
"Argentina","2005","53",""
"Argentina","2004","58",""
"Argentina","2003","66",""
"Argentina","2002","58",""
"Argentina","2001","61",""
"Argentina","2000","47",""
"Armenia","2011","63",""
"Armenia","2010","72",""
"Armenia","2009","73",""
"Armenia","2008","73",""
"Armenia","2007","70",""
"Armenia","2006","69",""
"Armenia","2005","72",""
"Armenia","2004","70",""
"Armenia","2003","77",""
"Armenia","2002","79",""
"Armenia","2001","90",""
"Armenia","2000","87",""
"Australia","2011","77",""
"Australia","2010","80",""
"Australia","2009","80",""
"Australia","2008","80",""
"Australia","2007","85",""
"Australia","2006","85",""
"Australia","2005","80",""
"Australia","2003","80",""
"Australia","2002","78",""
"Australia","2001","70",""
"Australia","2000","72",""
"Austria","2011","71",""
"Austria","2010","65",""
"Austria","2009","66",""
"Austria","2008","47",""
"Austria","2006","71",""
"Austria","2005","75",""
"Austria","2004","69",""
"Austria","2003","68",""
"Austria","2002","78",""
"Austria","2001","64",""
"Austria","2000","73",""
"Azerbaijan","2011","78",""
"Azerbaijan","2010","77",""
"Azerbaijan","2009","62",""
"Azerbaijan","2008","56",""
"Azerbaijan","2007","58",""
"Azerbaijan","2006","60",""
"Azerbaijan","2005","59",""
"Azerbaijan","2004","56",""
"Azerbaijan","2003","70",""
"Azerbaijan","2002","83",""
"Azerbaijan","2001","77",""
"Azerbaijan","2000","90",""
"Bahamas","2011","70",""
"Bahamas","2010","68",""
"Bahamas","2009","81",""
"Bahamas","2008","74",""
"Bahamas","2007","63",""
"Bahamas","2006","75",""
"Bahamas","2005","57",""
"Bahamas","2004","62",""
"Bahamas","2003","62",""
"Bahamas","2002","59",""
"Bahamas","2001","64",""
"Bahrain","2011","34",""
"Bahrain","2010","96",""
"Bahrain","2009","98",""
"Bahrain","2008","8",""
"Bahrain","2007","14",""
"Bahrain","2006","86",""
"Bahrain","2005","93",""
"Bahrain","2004","82",""
"Bahrain","2003","97",""
"Bahrain","2002","88",""
"Bahrain","2001","87",""
"Bahrain","2000","73",""
"Bangladesh","2011","92",""
"Bangladesh","2010","92",""
"Bangladesh","2009","92",""
"Bangladesh","2008","91",""
"Bangladesh","2007","92",""
"Bangladesh","2006","92",""
"Bangladesh","2005","91",""
"Bangladesh","2004","90",""
"Bangladesh","2003","85",""
"Bangladesh","2002","84",""
"Bangladesh","2001","83",""
"Bangladesh","2000","81",""
"Barbados","2010","100",""
"Barbados","2009","100",""
"Barbados","2008","100",""
"Barbados","2007","100",""
"Barbados","2006","100",""
"Barbados","2005","91",""
"Barbados","2003","100",""
"Belarus","2011","60",""
"Belarus","2010","66",""
"Belarus","2009","64",""
"Belarus","2008","71",""
"Belarus","2007","74",""
"Belarus","2006","70",""
"Belarus","2004","74",""
"Belarus","2003","73",""
"Belgium","2011","77",""
"Belgium","2010","75",""
"Belgium","2009","76",""
"Belgium","2008","76",""
"Belgium","2007","68",""
"Belgium","2006","73",""
"Belgium","2005","66",""
"Belgium","2004","72",""
