"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","37",""
"Afghanistan","2011","50",""
"Afghanistan","2010","51",""
"Afghanistan","2009","52",""
"Afghanistan","2008","24",""
"Afghanistan","2007","26",""
"Afghanistan","2006","21",""
"Afghanistan","2005","31",""
"Albania","2010","0",""
"Albania","2007","0",""
"Algeria","2011","0",""
"Algeria","2010","0",""
"Algeria","2009","0",""
"Algeria","2008","0",""
"Algeria","2007","0",""
"Algeria","2005","0",""
"Andorra","2010","0",""
"Andorra","2008","0",""
"Andorra","2007","0",""
"Angola","2012","431",""
"Angola","2011","508",""
"Angola","2010","1076",""
"Angola","2009","937",""
"Angola","2008","1184",""
"Angola","2007","1269",""
"Angola","2006","1078",""
"Angola","2005","1877",""
"Antigua and Barbuda","2012","0",""
"Antigua and Barbuda","2009","0",""
"Antigua and Barbuda","2007","0",""
"Argentina","2012","310",""
"Argentina","2011","340",""
"Argentina","2010","354",""
"Argentina","2009","333",""
"Argentina","2008","388",""
"Argentina","2007","312",""
"Argentina","2006","412",""
"Argentina","2005","484",""
"Armenia","2010","0",""
"Australia","2012","4",""
"Australia","2011","7",""
"Australia","2010","9",""
"Australia","2009","5",""
"Australia","2008","11",""
"Australia","2006","5",""
"Austria","2010","0",""
"Austria","2008","0",""
"Austria","2007","0",""
"Azerbaijan","2010","0",""
"Bahamas","2009","0",""
"Bahamas","2007","0",""
"Bahamas","2006","0",""
"Bahrain","2011","4",""
"Bahrain","2010","3",""
"Bahrain","2009","1",""
"Bahrain","2008","0",""
"Bahrain","2007","2",""
"Bahrain","2005","0",""
"Bangladesh","2012","3688",""
"Bangladesh","2011","3970",""
"Bangladesh","2010","3848",""
"Bangladesh","2009","5239",""
"Bangladesh","2008","5249",""
"Bangladesh","2007","5357",""
"Bangladesh","2006","6280",""
"Bangladesh","2005","7882",""
"Barbados","2011","1",""
"Barbados","2009","0",""
"Barbados","2007","0",""
"Belarus","2009","0",""
"Belarus","2007","0",""
"Belgium","2008","0",""
"Belgium","2007","0",""
"Belize","2012","0",""
"Belize","2011","0",""
"Belize","2010","0",""
"Belize","2009","0",""
"Belize","2007","0",""
"Belize","2006","0",""
"Benin","2012","243",""
"Benin","2011","246",""
"Benin","2010","227",""
"Benin","2009","248",""
"Benin","2008","298",""
"Benin","2007","345",""
"Benin","2006","404",""
"Benin","2005","397",""
"Bhutan","2012","18",""
"Bhutan","2011","23",""
"Bhutan","2010","14",""
"Bhutan","2009","12",""
"Bhutan","2008","18",""
"Bhutan","2006","16",""
"Bhutan","2005","15",""
"Bolivia (Plurinational State of)","2010","124",""
"Bolivia (Plurinational State of)","2009","141",""
"Bolivia (Plurinational State of)","2008","129",""
"Bolivia (Plurinational State of)","2006","165",""
"Bolivia (Plurinational State of)","2005","114",""
"Bosnia and Herzegovina","2010","0",""
"Bosnia and Herzegovina","2008","0",""
"Botswana","2012","1",""
"Botswana","2010","4",""
"Botswana","2008","0",""
"Botswana","2007","0",""
"Botswana","2005","5",""
"Brazil","2012","33303",""
"Brazil","2011","33955",""
"Brazil","2010","34894",""
"Brazil","2009","37610",""
"Brazil","2008","38914",""
"Brazil","2007","39125",""
"Brazil","2006","44436",""
"Brazil","2005","38410",""
"Brunei Darussalam","2012","2",""
"Brunei Darussalam","2010","3",""
"Brunei Darussalam","2009","2",""
"Brunei Darussalam","2008","2",""
"Brunei Darussalam","2007","0",""
"Brunei Darussalam","2006","2",""
"Brunei Darussalam","2005","1",""
"Burkina Faso","2012","313",""
"Burkina Faso","2010","320",""
"Burkina Faso","2009","412",""
"Burkina Faso","2008","452",""
"Burkina Faso","2007","588",""
"Burkina Faso","2006","776",""
"Burkina Faso","2005","872",""
"Burundi","2011","445",""
"Burundi","2010","546",""
"Burundi","2009","280",""
"Burundi","2008","275",""
"Burundi","2007","239",""
"Burundi","2006","288",""
"Burundi","2005","293",""
"Cabo Verde","2011","4",""
"Cabo Verde","2010","4",""
"Cabo Verde","2007","8",""
"Cabo Verde","2005","2",""
"Cambodia","2012","475",""
"Cambodia","2011","314",""
"Cambodia","2010","262",""
"Cambodia","2009","351",""
"Cambodia","2008","306",""
"Cambodia","2007","315",""
"Cambodia","2006","376",""
"Cambodia","2005","429",""
"Cameroon","2012","502",""
"Cameroon","2011","552",""
"Cameroon","2010","532",""
"Cameroon","2009","453",""
"Cameroon","2008","406",""
"Cameroon","2007","549",""
"Cameroon","2006","714",""
"Cameroon","2005","537",""
"Central African Republic","2012","152",""
"Central African Republic","2011","141",""
"Central African Republic","2010","174",""
"Central African Republic","2009","247",""
"Central African Republic","2008","141",""
"Central African Republic","2007","345",""
"Central African Republic","2006","313",""
"Central African Republic","2005","252",""
"Chad","2010","389",""
"Chad","2009","484",""
"Chad","2008","549",""
"Chad","2007","631",""
"Chad","2005","367",""
"Chile","2011","0",""
"Chile","2010","0",""
"Chile","2009","0",""
"Chile","2006","0",""
"Chile","2005","1",""
"China","2012","1210",""
"China","2011","1144",""
"China","2010","1324",""
"China","2009","1597",""
"China","2008","1614",""
"China","2007","1526",""
"China","2006","1506",""
"China","2005","1658",""
"Colombia","2012","392",""
"Colombia","2011","434",""
"Colombia","2010","295",""
"Colombia","2009","468",""
"Colombia","2008","445",""
"Colombia","2007","510",""
"Colombia","2006","398",""
"Colombia","2005","585",""
"Comoros","2011","502",""
"Comoros","2009","318",""
"Comoros","2008","336",""
"Comoros","2007","108",""
"Comoros","2006","132",""
"Comoros","2005","133",""
"Congo","2011","146",""
"Congo","2009","145",""
"Congo","2008","217",""
"Congo","2007","261",""
"Congo","2006","65",""
"Congo","2005","207",""
"Cook Islands","2010","0",""
"Cook Islands","2009","0",""
"Cook Islands","2008","0",""
"Cook Islands","2007","0",""
"Cook Islands","2006","0",""
"Cook Islands","2005","0",""
"Costa Rica","2012","6",""
"Costa Rica","2011","16",""
